iter	Passed	Remaining
398	126423	190426
399	126756	190135
400	127089	189841
401	127385	189494
402	127645	189093
403	127911	188701
404	128178	188312
405	128446	187924
406	128782	187637
407	129074	187284
408	129351	186911
409	129614	186518
410	129900	186159
411	130169	185775
412	130442	185399
413	130686	184981
414	130977	184630
415	131237	184237
416	131497	183844
417	131748	183439
418	132061	183120
419	132338	182752
420	132616	182387
421	132889	182014
422	133165	181646
423	133449	181289
424	133743	180947
425	134036	180603
426	134327	180257
427	134626	179921
428	134902	179555
429	135161	179167
430	135457	178828
431	135753	178491
432	136060	178167
433	136364	177839
434	136626	177457
435	136939	177142
436	137190	176746
437	137505	176433
438	137760	176045
439	138010	175650
440	138276	175276
441	138564	174930
442	138866	174601
443	139145	174245
444	139405	173865
445	139723	173558
446	140019	173222
447	140320	172895
448	140572	172506
449	140828	172124
450	141098	171758
451	141362	171386
452	141678	171077
453	141986	170759
454	142258	170397
455	142547	170057
456	142835	169715
457	143093	169337
458	143345	168953
459	143621	168599
460	143925	168277
461	144211	167934
462	144494	167588
463	144769	167233
464	145083	166923
465	145355	166566
466	145609	166188
467	145885	165835
468	146178	165502
469	146475	165174
470	146737	164806
471	146999	164440
472	147290	164106
473	147560	163748
474	147818	163377
475	148062	162993
476	148353	162659
477	148601	162279
478	148877	161931
479	149154	161584
480	149432	161237
481	149712	160894
482	150032	160594
483	150339	160279
484	150642	159961
485	150877	159569
486	151143	159212
487	151413	158860
488	151651	158474
489	151962	158165
490	152258	157839
491	152520	157480
492	152800	157139
493	153063	156781
494	153318	156415
495	153650	156128
496	153978	155836
497	154282	155522
498	154530	155149
499	154789	154789
500	155112	154493
501	155441	154202
502	155708	153851
503	155982	153506
504	156253	153159
505	156471	152760
506	156754	152426
507	157063	152116
508	157307	151744
509	157611	151430
510	157877	151080
511	158143	150730
512	158458	150427
513	158718	150072
514	158971	149710
515	159233	149358
516	159508	149018
517	159797	148692
518	160091	148369
519	160347	148013
520	160606	147659
521	160882	147321
522	161117	146946
523	161394	146610
524	161644	146249
525	161944	145934
526	162189	145570
527	162445	145216
528	162736	144894
529	163024	144569
530	163303	144236
531	163572	143894
532	163855	143565
533	164147	143244
534	164453	142936
535	164751	142620
536	165042	142299
537	165307	141955
538	165570	141610
539	165865	141293
540	166143	140961
541	166399	140611
542	166709	140306
543	167017	139999
544	167300	139673
545	167596	139356
546	167867	139020
547	168199	138733
548	168492	138415
549	168795	138105
550	169066	137769
551	169395	137480
552	169682	137157
553	169901	136779
554	170156	136431
555	170477	136136
556	170751	135804
557	171039	135482
558	171302	135141
559	171586	134818
560	171876	134498
561	172140	134159
562	172415	133828
563	172688	133496
564	172996	133192
565	173239	132837
566	173492	132490
567	173774	132166
568	174103	131878
569	174406	131569
570	174725	131273
571	174984	130932
572	175281	130620
573	175514	130259
574	175806	129944
575	176072	129608
576	176305	129249
577	176556	128904
578	176847	128588
579	177111	128252
580	177359	127906
581	177591	127548
582	177928	127266
583	178245	126969
584	178560	126671
585	178849	126354
586	179096	126008
587	179346	125664
588	179595	125320
589	179854	124983
590	180170	124686
591	180511	124406
592	180817	124102
593	181073	123763
594	181354	123443
595	181621	123112
596	181860	122763
597	182143	122444
598	182392	122102
599	182676	121784
600	182988	121484
601	183317	121196
602	183630	120897
603	183920	120583
604	184214	120272
605	184525	119972
606	184820	119661
607	185106	119345
608	185418	119045
609	185709	118732
610	185999	118418
611	186281	118100
612	186543	117768
613	186829	117453
614	187120	117140
615	187418	116832
616	187732	116534
617	188015	116216
618	188265	115878
619	188591	115588
620	188907	115291
621	189175	114964
622	189463	114651
623	189807	114371
624	190063	114038
625	190412	113760
626	190736	113468
627	191000	113140
628	191295	112830
629	191611	112533
630	191904	112222
631	192142	111880
632	192378	111536
633	192638	111207
634	192889	110873
635	193104	110519
636	193382	110200
637	193663	109884
638	193920	109554
639	194149	109209
640	194378	108864
641	194627	108530
642	194899	108210
643	195105	107853
644	195377	107533
645	195609	107191
646	195839	106849
647	196045	106493
648	196261	106144
649	196492	105803
650	196704	105452
651	196913	105101
652	197135	104756
653	197376	104422
654	197573	104065
655	197770	103708
656	197962	103350
657	198163	102996
658	198362	102642
659	198538	102277
660	198744	101927
661	198952	101580
662	199176	101240
663	199401	100901
664	199623	100562
665	199850	100225
666	200052	99876
667	200241	99520
668	200428	99165
669	200611	98808
670	200791	98450
671	200989	98101
672	201144	97732
673	201333	97380
674	201485	97011
675	201633	96640
676	201810	96284
677	202020	95944
678	202211	95596
679	202428	95260
680	202590	94899
681	202735	94530
682	202918	94180
683	203084	93822
684	203235	93458
685	203409	93105
686	203573	92748
687	203752	92399
688	203946	92057
689	204093	91694
690	204266	91343
691	204438	90993
692	204634	90653
693	204810	90305
694	205015	89970
695	205192	89624
696	205387	89286
697	205566	88941
698	205737	88593
699	205892	88239
700	206051	87887
701	206229	87544
702	206396	87197
703	206554	86846
704	206731	86504
705	206905	86161
706	207053	85808
707	207202	85456
708	207399	85124
709	207543	84771
710	207709	84427
711	207876	84084
712	208030	83737
713	208198	83396
714	208385	83062
715	208550	82721
716	208714	82379
717	208877	82038
718	209070	81709
719	209253	81376
720	209456	81051
721	209656	80726
722	209830	80391
723	210011	80059
724	210188	79726
725	210360	79392
726	210532	79058
727	210675	78714
728	210817	78369
729	210990	78037
730	211139	77696
731	211319	77368
732	211495	77038
733	211678	76711
734	211844	76379
735	212022	76051
736	212172	75714
737	212331	75380
738	212504	75052
739	212679	74725
740	212893	74412
741	213074	74087
742	213241	73759
743	213396	73426
744	213555	73096
745	213743	72775
746	213909	72448
747	214076	72122
748	214239	71794
749	214408	71469
750	214593	71150
751	214738	70818
752	214898	70491
753	215085	70173
754	215247	69848
755	215425	69528
756	215607	69210
757	215771	68887
758	215958	68571
759	216125	68250
760	216328	67940
761	216509	67623
762	216654	67296
763	216829	66978
764	217002	66660
765	217199	66350
766	217392	66039
767	217556	65720
768	217705	65396
769	217851	65072
770	218046	64763
771	218205	64444
772	218360	64123
773	218560	63817
774	218720	63499
775	218877	63181
776	219035	62863
777	219207	62550
778	219361	62232
779	219517	61915
780	219690	61603
781	219836	61284
782	219993	60968
783	220150	60653
784	220316	60341
785	220500	60034
786	220666	59723
787	220822	59409
788	220978	59095
789	221153	58787
790	221317	58477
791	221481	58166
792	221674	57864
793	221852	57558
794	222045	57257
795	222212	56948
796	222380	56641
797	222551	56335
798	222716	56027
799	222887	55721
800	223059	55416
801	223221	55109
802	223385	54803
803	223567	54501
804	223723	54193
805	223906	53893
806	224071	53588
807	224229	53282
808	224393	52977
809	224567	52676
810	224730	52372
811	224900	52070
812	225037	51761
813	225248	51469
814	225403	51165
815	225561	50861
816	225697	50553
817	225842	50248
818	226041	49955
819	226212	49656
820	226388	49358
821	226550	49058
822	226703	48756
823	226872	48458
824	227025	48156
825	227209	47862
826	227380	47565
827	227573	47273
828	227720	46972
829	227876	46673
830	228018	46372
831	228181	46075
832	228355	45780
833	228527	45486
834	228693	45190
835	228838	44891
836	229037	44603
837	229198	44307
838	229363	44013
839	229523	43718
840	229674	43422
841	229841	43129
842	230000	42835
843	230184	42546
844	230352	42254
845	230589	41974
846	230762	41684
847	230910	41389
848	231082	41099
849	231249	40808
850	231439	40522
851	231608	40232
852	231765	39940
853	231917	39648
854	232070	39356
855	232231	39067
856	232385	38776
857	232531	38484
858	232706	38197
859	232866	37908
860	233073	37627
861	233226	37337
862	233383	37049
863	233544	36761
864	233709	36474
865	233854	36185
866	234023	35899
867	234181	35612
868	234352	35328
869	234545	35047
870	234704	34761
871	234837	34471
872	234992	34185
873	235148	33900
874	235359	33622
875	235543	33341
876	235695	33056
877	235843	32770
878	236029	32490
879	236186	32207
880	236352	31924
881	236541	31646
882	236713	31365
883	236866	31081
884	237028	30800
885	237181	30517
886	237336	30235
887	237514	29956
888	237713	29680
889	237873	29400
890	238031	29119
891	238192	28839
892	238351	28559
893	238536	28282
894	238681	28001
895	238837	27722
896	238996	27443
897	239157	27164
898	239291	26883
899	239453	26605
900	239627	26329
901	239774	26050
902	239969	25777
903	240110	25498
904	240283	25223
905	240453	24947
906	240613	24671
907	240751	24393
908	240907	24117
909	241063	23841
910	241201	23564
911	241360	23289
912	241535	23016
913	241699	22741
914	241858	22467
915	242038	22195
916	242223	21924
917	242388	21651
918	242554	21378
919	242700	21104
920	242872	20832
921	243046	20561
922	243204	20288
923	243372	20017
924	243545	19746
925	243709	19475
926	243856	19203
927	244037	18933
928	244285	18669
929	244476	18401
930	244632	18130
931	244777	17859
932	244947	17590
933	245136	17322
934	245296	17052
935	245457	16783
936	245638	16515
937	245804	16247
938	245970	15978
939	246146	15711
940	246320	15444
941	246452	15174
942	246615	14906
943	246811	14641
944	246990	14375
945	247156	14108
946	247340	13842
947	247501	13576
948	247660	13309
949	247819	13043
950	247971	12776
951	248132	12510
952	248297	12245
953	248469	11980
954	248629	11715
955	248817	11451
956	248988	11187
957	249171	10924
958	249346	10660
959	249537	10397
960	249716	10134
961	249904	9871
962	250082	9608
963	250270	9346
964	250457	9083
965	250638	8821
966	250797	8558
967	250954	8296
968	251127	8034
969	251299	7772
970	251479	7510
971	251632	7248
972	251763	6986
973	251877	6723
974	251999	6461
975	252110	6199
976	252227	5937
977	252369	5677
978	252497	5416
979	252627	5155
980	252728	4894
981	252832	4634
982	252938	4374
983	253042	4114
984	253166	3855
985	253263	3596
986	253372	3337
987	253474	3078
988	253575	2820
989	253700	2562
990	253824	2305
991	253927	2047
992	254040	1790
993	254159	1534
994	254240	1277
995	254306	1021
996	254354	765
997	254416	509
998	254471	254
999	254527	0
28	0
